Country,Clicks,Impressions,CTR,Position
India,6,106,5.66%,58.75
United Arab Emirates,1,18,5.56%,70.67
Ethiopia,1,1,100%,2
United States,0,5380,0%,82.65
United Kingdom,0,893,0%,83.12
Canada,0,662,0%,86.69
Russia,0,233,0%,77.74
Ukraine,0,222,0%,78.58
France,0,181,0%,83.8
Switzerland,0,131,0%,70.92
Belgium,0,126,0%,74.25
Luxembourg,0,114,0%,69.64
Spain,0,111,0%,75.33
Mexico,0,102,0%,78.9
Netherlands,0,98,0%,67.56
Argentina,0,94,0%,73.86
Australia,0,83,0%,84.43
Sweden,0,82,0%,60.28
Indonesia,0,69,0%,59.25
Colombia,0,66,0%,61.03
Venezuela,0,58,0%,77.1
Germany,0,52,0%,70.08
Italy,0,46,0%,83.93
Algeria,0,45,0%,81.89
New Zealand,0,43,0%,69.7
Austria,0,39,0%,54.97
Poland,0,35,0%,78.4
South Africa,0,31,0%,75.74
Bangladesh,0,26,0%,82.23
Pakistan,0,25,0%,80.92
Brazil,0,23,0%,68.96
Singapore,0,20,0%,77.95
Ireland,0,19,0%,61.26
Hungary,0,19,0%,74.74
Romania,0,18,0%,82.33
Malaysia,0,17,0%,52.76
Kazakhstan,0,17,0%,82.65
Thailand,0,16,0%,52
Belarus,0,13,0%,65.08
Hong Kong,0,13,0%,80.69
Denmark,0,12,0%,56.42
Latvia,0,11,0%,72.64
Vietnam,0,11,0%,83.09
Philippines,0,10,0%,78.3
Norway,0,8,0%,72.38
Portugal,0,8,0%,73.25
Egypt,0,7,0%,68.14
Czechia,0,6,0%,72.5
Slovakia,0,6,0%,81.33
Malta,0,6,0%,86.5
Bulgaria,0,5,0%,54.4
Croatia,0,5,0%,60.2
Nigeria,0,5,0%,62.6
Nepal,0,4,0%,77.5
Japan,0,4,0%,83.75
Iraq,0,3,0%,52
Bolivia,0,3,0%,67
Kenya,0,3,0%,68
Israel,0,3,0%,68.33
Turkey,0,3,0%,70
Taiwan,0,3,0%,81.67
Sri Lanka,0,3,0%,88
South Korea,0,2,0%,40
Chile,0,2,0%,45
Lithuania,0,2,0%,57.5
Albania,0,2,0%,74.5
Morocco,0,2,0%,79
Cambodia,0,2,0%,86
Kuwait,0,2,0%,88
Serbia,0,1,0%,44
Togo,0,1,0%,49
Estonia,0,1,0%,55
Georgia,0,1,0%,65
Azerbaijan,0,1,0%,67
Maldives,0,1,0%,68
Saudi Arabia,0,1,0%,74
Lebanon,0,1,0%,75
Jamaica,0,1,0%,76
Kyrgyzstan,0,1,0%,76
Tunisia,0,1,0%,76
Dominican Republic,0,1,0%,77
Peru,0,1,0%,78
Myanmar (Burma),0,1,0%,79
Slovenia,0,1,0%,79
Guatemala,0,1,0%,80
Finland,0,1,0%,82
Panama,0,1,0%,82
Uruguay,0,1,0%,82
Haiti,0,1,0%,83
Iceland,0,1,0%,83
Greece,0,1,0%,84
Trinidad & Tobago,0,1,0%,85
Tonga,0,1,0%,87
El Salvador,0,1,0%,92
Bosnia & Herzegovina,0,1,0%,97
