# ----------------------------------------
# Demographic details: Country
# Account: Default Account for Firebase
# Property: WebToolkitBox
# ----------------------------------------
# 
# All Users
# Start date: 20260719
# End date: 20260815
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
United States,47,47,0,0,0,0.46808510638297873,147,0,0,0
China,7,7,1,0.14285714285714285,0.14285714285714285,129.85714285714286,28,0,0,0
India,6,6,44,0.6666666666666666,7.333333333333333,803.8333333333334,885,0,0,0
Poland,6,6,0,0,0,0,18,0,0,0
Canada,4,4,0,0,0,4.75,15,0,0,0
Netherlands,4,4,0,0,0,0,12,0,0,0
Germany,3,3,0,0,0,1.6666666666666667,10,0,0,0
Ukraine,2,2,1,0.5,0.5,20.5,11,0,0,0
United Kingdom,2,2,0,0,0,0.5,7,0,0,0
(not set),1,1,0,0,0,0,3,0,0,0
Bangladesh,1,1,1,1,1,27,4,0,0,0
Ethiopia,1,1,1,1,1,0,4,0,0,0
Isle of Man,1,1,0,0,0,0,3,0,0,0
Italy,1,1,0,0,0,0,3,0,0,0
Saudi Arabia,1,1,0,0,0,4,4,0,0,0
South Korea,1,1,0,0,0,0,3,0,0,0
United Arab Emirates,1,1,1,1,1,18,4,0,0,0
