# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: Default Account for Firebase
# Property: WebToolkitBox
# ----------------------------------------
# 
# All Users
# Start date: 20260719
# End date: 20260815
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/,4,42,0.09523809523809523,9.976190476190476,1,9,1,930,185,0,0
/image-converter,2,10,0.2,10.6,1,0,0,0,9,0,0
/image-cropper,2,25,0.08,66.4,1,1,1,0,4,0,0
/seo-audit,2,16643,0.00012017064231208316,79.26725950850208,3,3,1,50.666666666666664,64,0,0
/how-to-upscale-images-without-losing-quality,1,3,0.3333333333333333,62,0,0,0,0,0,0,0
/image-to-text-ocr,1,60,0.016666666666666666,85.55,1,1,1,18,4,0,0
/size-manager,1,9,0.1111111111111111,13.666666666666666,0,0,0,0,0,0,0
/square-image-maker,1,106,0.009433962264150943,82.5754716981132,0,0,0,0,0,0,0
/background-remover,0,5,0,4,0,0,0,0,0,0,0
/favicon-generator,0,182,0,71.9010989010989,0,0,0,0,0,0,0
/heic-to-png,0,2,0,85.5,0,0,0,0,0,0,0
/how-to-convert-heic-to-png-iphone,0,25,0,65.36,0,0,0,0,0,0,0
/how-to-do-free-website-seo-audit,0,1,0,75,0,0,0,0,0,0,0
/how-to-resize-images-to-custom-pixel-dimensions,0,238,0,84.71428571428571,0,0,0,0,0,0,0
/image-trimmer,0,16,0,50.8125,0,0,0,0,0,0,0
/image-upscaler,0,9,0,35.888888888888886,0,0,0,0,0,0,0
/seo-audit.html,0,261,0,81.2911877394636,0,0,0,0,0,0,0
/svg-to-image,0,38,0,70.5,0,0,0,0,0,0,0
/watermark-remover,0,7,0,58.57142857142857,0,0,0,0,0,0,0
(not set),0,0,0,0,1,0,0,25,11,0,0
