# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Default Account for Firebase
# Property: WebToolkitBox
# ----------------------------------------
# 
# All Users
# Start date: 20260719
# End date: 20260815
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,233,79,2.949367088607595,14.265822784810126,623,0,0
/image-converter,67,5,13.4,407,154,0,0
/watermark-remover,19,4,4.75,116,43,0,0
/image-resizer,18,2,9,63,37,0,0
/size-manager,18,5,3.6,116.2,40,0,0
/how-to-do-free-website-seo-audit,13,2,6.5,30,33,0,0
/how-to-upscale-images-without-losing-quality,12,3,4,26,23,0,0
/image-upscaler,11,3,3.6666666666666665,113.66666666666667,27,0,0
/promo.html,11,1,11,57,25,0,0
/image-to-text-ocr,9,3,3,54.333333333333336,17,0,0
/pdf-to-jpg,8,2,4,14,23,0,0
/svg-to-image,8,4,2,86,18,0,0
/image-cropper,6,3,2,9,12,0,0
/seo-audit,5,4,1.25,22,17,0,0
/favicon-generator,4,2,2,33.5,9,0,0
/jpg-to-pdf,4,1,4,34,11,0,0
/how-to-convert-heic-to-png-iphone,3,2,1.5,3.5,7,0,0
/video-compressor,3,2,1.5,2,6,0,0
/background-remover,2,1,2,4,4,0,0
/image-trimmer,2,2,1,9.5,4,0,0
/square-image-maker,2,2,1,22,5,0,0
/how-to-remove-watermarks-and-unwanted-objects-from-photos,1,1,1,16,3,0,0
/how-to-resize-images-to-custom-pixel-dimensions,1,1,1,3,3,0,0
/image-upscaler.html,1,1,1,7,4,0,0
/promo,1,1,1,140,9,0,0
/seo-audit.html,1,1,1,4,2,0,0
/webp-to-jpg,1,1,1,1,2,0,0
