# ----------------------------------------
# Understand web and/or app traffic overview
# Account: Default Account for Firebase
# Property: WebToolkitBox
# ----------------------------------------
#  
# Start date: 20260719
# End date: 20260815
Country ID,Active users
AE,1
BD,1
CA,4
CN,7
DE,3
ET,1
GB,2
IM,1
IN,6
IT,1
KR,1
NL,4
PL,6
SA,1
UA,2
US,47

# Start date: 20260719
# End date: 20260815
Country,Active users
US,47
CN,7
IN,6
PL,6
CA,4
NL,4
DE,3

#  
# Start date: 20260719
# End date: 20260815
City,Active users
Council Bluffs,14
Ashburn,10
Kolkata,6
Warsaw,6
San Jose,5
Glenview,4
Amsterdam,3
Burnaby,3
New York,3
San Francisco,2
Shanghai,2
Abu Dhabi,1
Addis Ababa,1
Al Khobar,1
Anadarko,1
Anyang-si,1
Barrackpore,1
Boardman,1
Boston,1
Dhaka,1
Douglas,1
Lviv,1
Ostia,1
Port Coquitlam,1
Ranchi,1
Reston,1
Sanya,1
Taos Pueblo,1
Thonotosassa,1
Zhengzhou,1

#  
# Start date: 20260719
# End date: 20260815
Nth day,Average engagement time per active user
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,34.8421052631579
0011,1.7333333333333334
0012,8
0013,150.16666666666666
0014,2
0015,142.16666666666666
0016,1.5
0017,35.285714285714285
0018,236
0019,168
0020,0
0021,7.428571428571429
0022,109.33333333333333
0023,1
0024,0
0025,0
0026,0.25
0027,53.333333333333336

# Start date: 20260719
# End date: 20260815
Nth day,Engaged sessions per active user
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0.3684210526315789
0011,0.06666666666666667
0012,0.75
0013,0
0014,0
0015,0.5
0016,0.3333333333333333
0017,0.8571428571428571
0018,1.5
0019,1
0020,0
0021,0.42857142857142855
0022,0.8333333333333334
0023,0.25
0024,0
0025,0
0026,0.25
0027,1

# Start date: 20260719
# End date: 20260815
Nth day,Average engagement time per session
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,30.09090909090909
0011,1.7333333333333334
0012,6.4
0013,150.16666666666666
0014,2
0015,106.625
0016,1.2857142857142858
0017,17.642857142857142
0018,101.14285714285714
0019,70
0020,0
0021,7.428571428571429
0022,54.666666666666664
0023,0.8
0024,0
0025,0
0026,0.16666666666666666
0027,26.666666666666668

#  
# Start date: 20260719
# End date: 20260815
Event name,Event count
page_view,464
user_engagement,378
session_start,149
first_visit,89
scroll,80
click,1

#  
# Start date: 20260719
# End date: 20260815
Page title and screen class,Views
"WebToolkitBox – Free Online Image Converter, Background Remover & Editor",227
"HEIC to JPG Converter Free Online – Convert PNG, WebP, HEIC | WebToolkitBox",66
Remove Watermark from Photo Free Online | WebToolkitBox,19
"Compress Image to 200KB, 100KB, 50KB Free Online | WebToolkitBox",18
How to Perform a Free Website SEO Audit in 2026 (Step-by-Step Guide) | WebToolkitBox,13
How to Upscale Images Without Losing Quality Free Online | WebToolkitBox,12
Resize Image Pixels Free Online – Custom Dimensions | WebToolkitBox,11
100% Free Online Image Converter & AI Editor | WebToolkitBox,9
Image to Text Converter Free – OCR Online Extract Text | WebToolkitBox,9
Free AI Image Upscaler & Enhancer Online – 2X 4X HD Enlarge | WebToolkitBox,8
Resize Image Online Free – Change Dimensions & Pixels | WebToolkitBox,7
SVG to PNG Converter Free Online – High Quality | WebToolkitBox,7
Crop Image Online Free – Custom Aspect Ratio Cropper | WebToolkitBox,6
Free PDF to JPG Converter Online – Extract PDF Pages to Images | WebToolkitBox,6
Free SEO Audit Tool – Website SEO Analyzer & Score Checker | WebToolkitBox,6
"WebToolkitBox — Free Online Image Converter, Background Remover, SVG to PNG & Editor Tool",6
