Country,Clicks,Impressions,CTR,Position
India,1,142,0.7%,83.22
Bangladesh,1,27,3.7%,84.85
United States,0,479,0%,76.31
Ukraine,0,133,0%,74.63
Canada,0,98,0%,76.68
Philippines,0,83,0%,85.93
France,0,76,0%,79.16
United Kingdom,0,67,0%,77.03
Switzerland,0,57,0%,68.35
Turkey,0,35,0%,81.97
Belgium,0,34,0%,73.59
Malaysia,0,33,0%,82.88
Indonesia,0,33,0%,82.97
Luxembourg,0,31,0%,73.58
Algeria,0,25,0%,77.56
Vietnam,0,24,0%,80.42
Germany,0,22,0%,73.86
Russia,0,22,0%,75.32
Spain,0,19,0%,65.89
Pakistan,0,17,0%,82.76
Poland,0,16,0%,71.75
Austria,0,15,0%,63.73
Thailand,0,15,0%,80.8
Netherlands,0,13,0%,63.08
Australia,0,13,0%,75.08
Morocco,0,12,0%,81.42
Mexico,0,9,0%,75.33
Saudi Arabia,0,7,0%,70.43
Jordan,0,7,0%,83.43
Sweden,0,6,0%,60.83
Argentina,0,6,0%,69.83
United Arab Emirates,0,4,0%,74.5
Romania,0,3,0%,56
Ireland,0,3,0%,67.33
New Zealand,0,3,0%,75.33
Japan,0,2,0%,37
Belarus,0,2,0%,60.5
Nigeria,0,2,0%,72
Iraq,0,2,0%,78.5
Hong Kong,0,2,0%,80.5
Italy,0,2,0%,83.5
Croatia,0,1,0%,39
Bulgaria,0,1,0%,40
Denmark,0,1,0%,56
Chile,0,1,0%,69
Czechia,0,1,0%,74
Sri Lanka,0,1,0%,76
Colombia,0,1,0%,78
South Africa,0,1,0%,80
Brazil,0,1,0%,81
Egypt,0,1,0%,89
Kenya,0,1,0%,98
Myanmar (Burma),0,1,0%,98
