Date,Not indexed,Indexed,Impressions
2026-07-26,,,0
2026-07-27,,,37
2026-07-28,,,107
2026-07-29,,,358
2026-07-30,,,2065
2026-07-31,,,1286
2026-08-01,,,1526
2026-08-02,,,1102
2026-08-03,,,1626
2026-08-04,,,1409
2026-08-05,2,15,1394
2026-08-06,2,18,2040
2026-08-07,2,18,3021
2026-08-08,9,20,1009
2026-08-09,9,20,15
2026-08-10,9,20,14
2026-08-11,9,20,17
2026-08-12,9,20,192
2026-08-13,9,20,223
2026-08-14,9,20,143
2026-08-15,38,10,168
2026-08-16,38,10,1
2026-08-17,38,10,2
2026-08-18,39,9,1
2026-08-19,39,9,0
2026-08-20,39,9,1
2026-08-21,39,9,1
